frame,r1,r2,r3,t1,t2,t3
0,0.507764307,0.255370504,-1.561173261,-8.002489259,3.59721131,629.3907923
1,-0.496936885,-0.288388468,-1.566701786,-7.925708394,3.574686912,625.8223973
2,0.497655286,0.289468664,-1.565700735,-7.865163934,3.567042555,623.8635214
3,0.49576132,0.303080885,-1.566670069,-7.799186834,3.550514686,620.8946664
4,0.494740491,0.320806996,-1.566604304,-7.745726502,3.529021856,618.8188223
5,-0.480795868,-0.342906063,-1.573421875,-7.680757963,3.521747035,616.1804253
6,0.487078295,0.337564766,-1.570632588,-7.624330702,3.514438697,614.6814677
7,0.488154791,0.3523056,-1.571159929,-7.558297458,3.498140936,612.3477841
8,-0.474364394,-0.375926265,-1.576382916,-7.507427366,3.483417338,610.2195149
9,0.477588811,0.373088822,-1.575326341,-7.458900378,3.482099113,610.0456643
10,0.469778046,0.381242966,-1.577619759,-7.392807874,3.4732961,608.2558313
11,0.46439604,0.391831796,-1.579046287,-7.342670342,3.466647557,607.5076853
12,-0.457773044,-0.415290953,-1.583423896,-7.264344029,3.450580539,604.1790134
13,0.466492312,0.41116526,-1.579642911,-7.226062422,3.441980091,603.9605694
14,0.457664367,0.418250159,-1.58368796,-7.160315031,3.443083065,603.6288854
15,0.450929234,0.425905083,-1.585111853,-7.114160558,3.438687998,602.964876
16,-0.442659269,-0.446299279,-1.590267135,-7.038213204,3.431605155,600.8184713
17,0.446539772,0.436879916,-1.587410881,-6.996914228,3.42954119,601.3324243
18,0.439958905,0.443483828,-1.589405757,-6.953240241,3.426932032,601.45389
19,0.434871607,0.44613326,-1.591408216,-6.898687673,3.429908669,601.5079021
20,0.424694648,0.450060585,-1.594586248,-6.84667593,3.431686443,601.3690023
21,0.415146645,0.462769802,-1.597686416,-6.779812712,3.427164472,601.2410959
22,0.411840505,0.471820984,-1.598370274,-6.727181516,3.42038107,601.1229824
23,-0.406465622,-0.488008557,-1.602764132,-6.675114313,3.428524438,601.1328997
24,-0.397633597,-0.489235403,-1.604403247,-6.616337302,3.420845075,599.6106038
25,-0.379932497,-0.499542596,-1.609403756,-6.552469126,3.425043456,601.0056806
